,File Name,Position,salary_start,salary_end,opendate,requirements,duties,deadline,selection,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EDUCATION_YEARS,SCHOOL_TYPE
0,311 DIRECTOR  9206 041814.txt,311 director,"125,175","$155,514",2014-04-18,"1. One year of full-time paid experience as a Senior Management Analyst with the City of Los Angeles or in a class which is at least at the level which provides professional experience in supervisory or managerial work relating to a call center with at least 50 call agents or a call center that receives at least one million calls annually; or2. A Bachelor's degree from a recognized college or university and four years of full-time paid experience in a call center environment with at least 50 call agents or a call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center; or3. Eight years of full-time paid experience in a call center environment with at least 50 call agents or call center that receives at least one million calls annually, two years of which must be supervising staff working at such a call center.","A 311 Director is responsible for the successful operation and expansion of the 311 Call Center in the Information Technology Agency (ITA) which answers call from constituents regarding Citywide services provided by City departments; works to ensure the efficient and effective resolution of any issues that may arise; plans, directs, hires, coaches, and coordinates a large staff of professional, technical and clerical employees engaged in the implementation, administration, and operations of the City's 311 Call Center; applies sound supervisor principles and techniques in building and maintaining and effective work force; fulfills equal opportunity responsibilities; and does related work.","MAY 1, 2014",['Interview'],One,FULL_TIME,,
1,ACCOUNTANT 1513 062218.txt,accountant,"49,903","$72,996",2018-06-22,Graduation from an accredited four-year college or university and at least 24 semester or 36 quarter units in accounting.,"An Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.","AUGUST 25, 2018","['Test', 'Interview']",,,four,College or University
2,ACCOUNTING CLERK 1223 071318.txt,accounting clerk,"49,005","$71,618",2018-07-13,"Two years of full-time paid office clerical experience, including one year of full-time paid clerical accounting work.Successful completion of 6 semester or 9 quarter units in bookkeeping or accounting from an accredited trade school, college or university may be substituted for a maximum of six months of the above required experience. ","An Accounting Clerk performs difficult and responsible clerical accounting work in the review, preparation, processing, reconciliation, and maintenance of accounting records and reports, or payroll and time keeping documents; processing and monitoring of invoice payments, and personal services contract invoice payments; may perform cashiering duties; or may act as a lead person in the performance of such work.",,['Test'],Two,FULL_TIME,,
3,ACCOUNTING RECORDS SUPERVISOR 1119 072718.txt,accounting records supervisor,"55,332","$80,930",2018-07-27,"Two years of full-time paid experience as an Accounting Clerk, or in a class at the level of Senior Administrative Clerk (formerly Senior Clerk) which provides experience in office clerical accounting or cashiering.","An Accounting Records Supervisor assigns, reviews and evaluates the work of a group of clerical employees engaged in the preparation, processing, and maintenance of a wide variety of accounting or financial records; or supervises accounting clerical personnel serving as cashiers or tellers; applies sound supervisory techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","AUGUST 9, 2018","['Test', 'Interview']",Two,FULL_TIME,,
4,ADMINISTRATIVE ANALYST 1590 060118.txt,administrative analyst,"60,489","$88,468",2018-06-01,"1. One year of full-time paid professional experience as a Management Assistant with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or2. Two years of full-time paid experience as a Management Aide with the City of Los Angeles with experience in budgetary analysis and control, administrative analysis and research, systems and procedures analysis, or personnel administration; or3. One year of full-time paid experience with the City of Los Angeles as a Chief Clerk or in a clerical class at that level.A bachelor's degree from an accredited four-year college or university may substitute for one year of full-time paid experience as a Management Aide in Requirement #2.","An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.","JUNE 14, 2018","['Test', 'Essay', 'Interview']",One,FULL_TIME,four,College or University
5,ADMINISTRATIVE CLERK 1358 033018 (2).txt,administrative clerk ,"37,584","$54,935",2018-03-30,ix months of full-time paid experience in clerical work or retail sales.,"An Administrative Clerk performs general office work, which may include customer service, basic word processing, data entry, filing and organizing, and related work.","APRIL 12, 2018",[],,,,
6,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,administrative hearing examiner,"54,726","$80,012",2015-10-09,"1. Two years of full-time paid experience with the City of Los Angeles as a Management Assistant or Management Aide interpreting and applying State and Federal regulations, City ordinances, the City Administrative Code and/or the City Charter; or2. Two years of full-time paid experience with the City of Los Angeles as a Senior Traffic Supervisor; or3. Two years of full-time paid experience with the City of Los Angeles as a Transportation Investigator or in a class at that level conducting administrative hearings on appeals, interviewing respondents and witnesses, and preparing written decisions based upon findings; or4. 520 hours of paid experience with the City of Los Angeles within the past two years from the date of filing as an exempt or contract Administratve Hearing Examiner. ","An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.","OCTOBER 22, 2015",['Interview'],Two,FULL_TIME,,
7,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,advance practice provider correctional care,"78,487","$97,530",2008-02-08,"1. Must be licensed as a: a. Registered Nurse and certified as a Nurse Practitioner by the California Board of Registered Nursing with documentation of education and training as a Nurse Practitioner in family practice, adult, or emergency medicine, and possess a current license, Furnishing Number, and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; orb. Physician Assistant with documentation of education and training as a Physician Assistant in family practice, adult, or emergency medicine, and possess a current license and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; and  2. Must have a current, valid American Heart Association Healthcare Provider CPR card (Applicants must list the expiration date of their CPR card in the free-flowing text box on the application).","An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.",,[],,,,
8,AIR CONDITIONING MECHANIC 3774 041417.txt,air conditioning mechanic,"90,118",,2017-04-14,"1. Completion of a recognized apprenticeship as a refrigeration and air conditioning fitter; or2. Six years of full-time paid experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.Completion of 12 semester or 18 quarter units in Air Conditioning Technology, Refrigeration and Air Conditioning Mechanics or Air Conditioning and Refrigeration Technology from a recognized college or trade school may be substituted for each year of the experience lacking specified in Requirement #2, up to a maximum of two years.  ","An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.","APRIL 27, 2017",[],Six,FULL_TIME,,
9,AIR CONDITIONING MECHANIC SUPERVISOR 3781 111618 2.txt,air conditioning mechanic supervisor,"103,841","$108,482",2018-11-16,"Four years of full-time paid experience as an air conditioning mechanic or in a craft at the journey-level involved in the installation, modification, maintenance and repair of air conditioning, refrigeration, heating and ventilating equipment, two years of which must include experience working with one or more of the following controls:a. electric controlsb. electronic controlsc. pneumatic controlsd. direct digital control systemse. energy management and building automation controls","An Air Conditioning Mechanic Supervisor assigns, reviews and evaluates the work of a crew engaged in the installation, modification, maintenance and repair of refrigeration, air conditioning, heating and ventilating equipment and related facilities; lays out and prepares cost estimates for new installations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.","NOVEMBER 29, 2018","['Essay', 'Interview']",Four,FULL_TIME,,
10,AIRPORT AIDE 1540 081018.txt,airport aide,"43,242","$63,203",2018-08-10,One year of full-time paid experience as an Airport Guide with the Los Angeles World Airports assisting executive management and/or elected officials.,An Airport Aide provides services and transportation for visiting dignitaries and Airport officials and may supervise others assisting in such activities.,"AUGUST 23, 2018",[],One,FULL_TIME,,
11,AIRPORT CHIEF INFORMATION SECURITY OFFICER 1404 120415_Modified.txt,airport chief information security officer,"125,551","$183,576",2015-12-04,"1. A bachelor's degree from an accredited four-year college or university; and2. CISSP Certification (Certified Information Systems Security Professional); and3. Four years of full-time paid experience at least at the level of Systems Programmer III working as a lead or supervising in the area of planning, designing, implementing, and configuring a secure network infrastructure and/or mission-critical applications containing enterprise data.","Airport Chief Information Security Officer manages the design, development, implementation, operation and maintenance of all LAWA information security programs; protects the confidentiality, integrity, and availability of all voice, data network, application, network infrastructure and their associated information assets; creates a security-conscious culture through training and development; implements and maintains a security infrastructure based on policies and procedures; ensures compliance with applicable Federal, State, local laws and ordinances; and fulfills equal employment opportunity responsibilities.","DECEMBER 17, 2015",['Interview'],Four,FULL_TIME,four,College or University
12,AIRPORT ENGINEER 7256 070618.txt,airport engineer,"105,005","$153,509",2018-07-06," 1. Two years of full-time paid professional experience at the level of Engineering Associate III in the areas of civil, structural, mechanical, electrical, or communication engineering in the design, construction, management or engineering of airport/aviation projects or programs; and a valid license as a Professional Engineer with the California State Board of Registration for Professional Engineer; or2. Five years of full-time paid professional experience (two years of which requiring a PE license to perform duties) in the areas of civil, structural, mechanical, electrical, or communication engineering in the design, construction, management or engineering of airport/aviation projects or programs and a valid license as a Professional Engineer with the California State Board of Registration for Professional Engineers.","An Airport Engineer performs professional engineering work in the planning, design, construction, maintenance, and operation of landside facilities, structures, pavement and support systems at an airport; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. ","JULY 19, 2018",['Interview'],Two,FULL_TIME,,
13,AIRPORT INFORMATION SPECIALIST 1783 121115.txt,airport information specialist,"42,991","$62,869",2015-12-11,"1. Current employment with the City of Los Angeles; and 2. 2,080 hours of paid experience as an Airport Guide II; or3. 4,160 hours of paid experience as an Airport Guide I or Airport Information Aide.","An Airport Information Specialist provides and/or supervises the provision of information services at Los Angeles World Airports; plans, organizes and coordinates special events for the Department; and does related work.","DECEMBER 24, 2015",['Essay'],,,,
14,AIRPORT LABOR RELATIONS ADVOCATE 9210 020119.txt,airport labor relations advocate,"93,918","$137,327",2019-02-01,"1. Graduation from an accredited college or university; and two years of full-time paid professional experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions; or2. Six years of full-time paid experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions.","The Airport Labor Relations Advocate advises senior management on labor relations activities that directly affect operations at the airports by working as liaison with airline employee unions and individual legislators, officials, airline administrators, and leaders of airline employee unions to establish or maintain support for LAWA's (Los Angeles World Airports) position on various issues; advocates legislation that support effective airport operations; informs management of the airport industry labor relations environment, proposals, and actions of employee unions, City, County, State and Federal authorities and agencies; examines effects of proposed legislation to determine the effect on LAWA activities and advise management. Investigates labor related concerns received from the public and recommends resolve.","FEBRUARY 14, 2019",['Interview'],two,FULL_TIME,,
15,AIRPORT MANAGER 7260 120216.txt,airport manager,"99,326","$141,378",2016-12-02,1. Two years of full-time paid experience with the City of Los Angeles in a class at the level of Chief of Operations coordinating airports related expansion or improvement programs or supervising staff involved in the operations or maintenance of an airport; or2. Two years of full-time paid experience as a second-level supervisor with responsibility for the operations or maintenance of a medium or large hub commercial airport (as defined by the Federal Aviation Administration).,"An Airport Manager manages, through subordinate supervisors, the landside transportation, air side operations, construction project management, and maintenance activities at a commercial or general aviation airport; coordinates with law enforcement to maintain security of airport property, buildings, facilities, and airfield; participates in planning and coordinating the use of airport facilities by airport tenants and other concerned organizations; may direct the public and community relations activities at the outlying airport; fulfills Equal Employment Opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.","DECEMBER 15, 2016",['Interview'],Two,FULL_TIME,,
16,AIRPORT POLICE CAPTAIN 3228 021618.txt,airport police captain,"142,568","$187,001",2018-02-16,"One year of full-time paid experience as an Airport Police Lieutenant with the Los Angeles World Airports, or in a class at that level, with responsibility for all law enforcement and safety and security services provided at a LAWA facility during a watch or by a particular unit.","An Airport Police Captain plans, supervises, directs and controls civilian and sworn Airport Police Division employees within a division, section or large tactical group; applies sound management techniques to ensure the mission of the Airport Police Division is met through enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any one of the airports of the City of Los Angeles; and does other related work.","MARCH 1, 2018",['Interview'],One,FULL_TIME,,
17,AIRPORT POLICE LIEUTENANT 3227 091616.txt,airport police lieutenant,"102,186","$134,028",2016-09-16,"Two years of full-time paid experience as an Airport Police Sergeant with the Los Angeles World Airports, or in a class at that level, one year of which must have involved full-time responsibility for the deployment and functioning of law enforcement, safety, and security personnel in the performance of their duties at a Los Angeles World Airports facility.","An Airport Police Lieutenant plans, supervises, directs and controls employees of the Airport Police Division of the Los Angeles World Airports (LAWA), civilian and sworn, during a specific time period, watch, or in a particular unit; applies sound supervisory and management techniques to ensure the mission of the Airport Police Division of the Los Angeles World Airports is met through the enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any of the four City of Los Angeles airports; and does other related work.","SEPTEMBER 29, 2016",['Test'],Two,FULL_TIME,,
18,AIRPORT SUPERINTENDENT OF OPERATIONS 7268 121815 (1).txt,airport superintendent of operations,"53,682","$78,467",2015-12-18,"1. Two years of full-time paid experience at a commercial service or military airport working in: aircraft ground operations, airline ramp activities, airport terminal use management, or airport ground transportation monitoring activities, or in a Federal Inspection Services (FIS) area or an airport control tower; or operating aircraft service equipment on an airfield; or2. A bachelor's degree from an accredited four-year college or university with 24 semester or 36 quarter units in aviation or transportation management.","An Airport Superintendent of Operations inspects airport facilities; reviews contract and private ground transportation services to ensure compliance with contract terms and airport rules, regulations, and procedures; enforces safety operating rules, regulations, and procedures; acts as liaison between the operations office and airport maintenance, tenants, and the public; directs the activities of personnel in the Airport Operations Division who enforce operating and security rules, regulations and procedures for the safe and efficient operation of airport facilities and equipment; may act for an Airport Manager on an assigned or rotating shift; may supervise the operation, maintenance and security of a commercial or general aviation airport; and does related work.","DECEMBER 31, 2015",[],Two,FULL_TIME,four,College or University
